_id,operator_registration_number,postal_code,ward_number,ward_name
108770,STR-2204-FSYHHC,M9R,2.0,Etobicoke Centre
108771,STR-2204-GRSHHG,M2N,18.0,Willowdale
108772,STR-2204-FTPVHC,M6H,9.0,Davenport
108773,STR-2103-HZTDVM,M5R,11.0,University-Rosedale
108774,STR-2103-FGCRVB,M5H,10.0,Spadina-Fort York
108775,STR-2103-FWQRVD,M4L,19.0,Beaches-East York
108776,STR-2103-GMCRVG,M6L,5.0,York South-Weston
108777,STR-2103-GVJRVH,M5H,10.0,Spadina-Fort York
108778,STR-2103-HCQRVJ,M6E,9.0,Davenport
108779,STR-2103-JBJRVM,M5J,10.0,Spadina-Fort York
108780,STR-2103-FGTDVB,M5V,10.0,Spadina-Fort York
108781,STR-2103-FPZDVC,M5J,10.0,Spadina-Fort York
108782,STR-2103-FXGDVD,M5J,10.0,Spadina-Fort York
108783,STR-2103-GFMDVF,M5V,10.0,Spadina-Fort York
108784,STR-2103-GMTDVG,M1S,22.0,Scarborough-Agincourt
108785,STR-2103-GVZDVH,M5V,10.0,Spadina-Fort York
108786,STR-2103-HDGDVJ,M1N,20.0,Scarborough Southwest
108787,STR-2103-HLMDVK,M5R,11.0,University-Rosedale
108788,STR-2103-HTTDVL,M5B,13.0,Toronto Centre
108789,STR-2103-JBZDVM,M5V,10.0,Spadina-Fort York
108790,STR-2103-FHJRVB,M9R,2.0,Etobicoke Centre
108791,STR-2103-GGCRVF,M6G,9.0,Davenport
108792,STR-2103-GPJRVG,M3M,6.0,York Centre
108793,STR-2103-GWQRVH,M5V,10.0,Spadina-Fort York
108794,STR-2103-HDWRVJ,M6H,9.0,Davenport
108795,STR-2103-HMCRVK,M8Y,3.0,Etobicoke-Lakeshore
108796,STR-2103-HVJRVL,M5J,10.0,Spadina-Fort York
108797,STR-2103-FHZDVB,M4B,19.0,Beaches-East York
108798,STR-2103-FYMDVD,M5J,10.0,Spadina-Fort York
108799,STR-2103-GGTDVF,M5V,10.0,Spadina-Fort York
108800,STR-2103-GXGDVH,M4N,15.0,Don Valley West
108801,STR-2103-HFMDVJ,M5V,10.0,Spadina-Fort York
108802,STR-2103-HMTDVK,M6K,10.0,Spadina-Fort York
108803,STR-2103-HVZDVL,M6M,5.0,York South-Weston
108804,STR-2103-FJQRVB,M5V,10.0,Spadina-Fort York
108805,STR-2103-FRWRVC,M5R,12.0,Toronto-St. Paul's
108806,STR-2103-FZCRVD,M4C,19.0,Beaches-East York
108807,STR-2103-GHJRVF,M4W,11.0,University-Rosedale
108808,STR-2103-GQQRVG,M5H,10.0,Spadina-Fort York
108809,STR-2103-GXWRVH,M8Y,3.0,Etobicoke-Lakeshore
108810,STR-2103-HGCRVJ,M4Y,13.0,Toronto Centre
108811,STR-2103-HPJRVK,M5V,10.0,Spadina-Fort York
108812,STR-2103-HWQRVL,M6H,9.0,Davenport
108813,STR-2103-JDWRVM,M4L,14.0,Toronto-Danforth
108814,STR-2103-FKGDVB,M5T,11.0,University-Rosedale
108815,STR-2103-FSMDVC,M4C,19.0,Beaches-East York
108816,STR-2103-FZTDVD,M6K,9.0,Davenport
108817,STR-2103-GHZDVF,M5V,10.0,Spadina-Fort York
108818,STR-2103-GYMDVH,M5J,10.0,Spadina-Fort York
108819,STR-2103-HGTDVJ,M6E,9.0,Davenport
108820,STR-2103-HPZDVK,M5V,10.0,Spadina-Fort York
108821,STR-2103-JFMDVM,M6H,9.0,Davenport
108822,STR-2103-FKWRVB,M5V,10.0,Spadina-Fort York
108823,STR-2103-GBJRVD,M4S,12.0,Toronto-St. Paul's
108824,STR-2103-GJQRVF,M5V,10.0,Spadina-Fort York
108825,STR-2103-GZCRVH,M6E,9.0,Davenport
108826,STR-2103-JGCRVM,M5J,10.0,Spadina-Fort York
108827,STR-2103-FLMDVB,M5V,10.0,Spadina-Fort York
108828,STR-2103-GBZDVD,M5J,10.0,Spadina-Fort York
108829,STR-2103-GKGDVF,M5J,10.0,Spadina-Fort York
108830,STR-2103-HRGDVK,M5V,10.0,Spadina-Fort York
108831,STR-2103-HYMDVL,M9V,1.0,Etobicoke North
108832,STR-2103-FDXXVB,M2N,18.0,Willowdale
108833,STR-2103-FMDXVC,M6R,9.0,Davenport
108834,STR-2103-FVKXVD,M4L,14.0,Toronto-Danforth
108835,STR-2103-GCRXVF,M5J,10.0,Spadina-Fort York
108836,STR-2103-GTDXVH,M6K,10.0,Spadina-Fort York
108837,STR-2103-HRXXVL,M5J,10.0,Spadina-Fort York
108838,STR-2103-FFPKVB,M6K,10.0,Spadina-Fort York
108839,STR-2103-FMVKVC,M9B,2.0,Etobicoke Centre
108840,STR-2103-FWBKVD,M5V,10.0,Spadina-Fort York
108841,STR-2103-GDHKVF,M1C,25.0,Scarborough-Rouge Park
108842,STR-2103-HKHKVK,M3H,6.0,York Centre
108843,STR-2103-HSPKVL,M5V,10.0,Spadina-Fort York
108844,STR-2103-FGDXVB,M5J,10.0,Spadina-Fort York
108845,STR-2103-FWRXVD,M3A,16.0,Don Valley East
108846,STR-2103-GDXXVF,M9M,7.0,Humber River-Black Creek
108847,STR-2103-GMDXVG,M5A,13.0,Toronto Centre
108848,STR-2103-GVKXVH,M4J,14.0,Toronto-Danforth
108849,STR-2103-HTDXVL,M5V,10.0,Spadina-Fort York
108850,STR-2103-JBKXVM,M4A,16.0,Don Valley East
108851,STR-2103-FGVKVB,M5A,13.0,Toronto Centre
108852,STR-2103-FQBKVC,M8Y,3.0,Etobicoke-Lakeshore
108853,STR-2103-FXHKVD,M4E,19.0,Beaches-East York
108854,STR-2103-GFPKVF,M3H,6.0,York Centre
108855,STR-2103-GMVKVG,M5J,10.0,Spadina-Fort York
108856,STR-2103-HDHKVJ,M5B,13.0,Toronto Centre
108857,STR-2103-HTVKVL,M6H,9.0,Davenport
108858,STR-2103-FHKXVB,M5J,10.0,Spadina-Fort York
108859,STR-2104-FQRXVC,M2J,17.0,Don Valley North
108860,STR-2104-FXXXVD,M6N,9.0,Davenport
108861,STR-2104-GGDXVF,M1J,21.0,Scarborough Centre
108862,STR-2104-GPKXVG,M5V,10.0,Spadina-Fort York
108863,STR-2104-GWRXVH,M6J,10.0,Spadina-Fort York
108864,STR-2104-HDXXVJ,M4X,13.0,Toronto Centre
108865,STR-2104-HMDXVK,M6M,5.0,York South-Weston
108866,STR-2104-HVKXVL,M5B,13.0,Toronto Centre
108867,STR-2104-JCRXVM,M6E,9.0,Davenport
108868,STR-2104-FJBKVB,M1C,25.0,Scarborough-Rouge Park
108869,STR-2104-FRHKVC,M3A,16.0,Don Valley East
108870,STR-2104-GGVKVF,M8Y,3.0,Etobicoke-Lakeshore
108871,STR-2104-GQBKVG,M6J,9.0,Davenport
108872,STR-2104-GXHKVH,M9A,3.0,Etobicoke-Lakeshore
108873,STR-2104-HFPKVJ,M5B,13.0,Toronto Centre
108874,STR-2104-HWBKVL,M5V,10.0,Spadina-Fort York
108875,STR-2104-JDHKVM,M4Y,13.0,Toronto Centre
108876,STR-2104-HHKXVJ,M4M,14.0,Toronto-Danforth
108877,STR-2104-FZDXVD,M5V,10.0,Spadina-Fort York
108878,STR-2104-GHKXVF,M4L,14.0,Toronto-Danforth
108879,STR-2104-GQRXVG,M4B,19.0,Beaches-East York
108880,STR-2104-GXXXVH,M5J,10.0,Spadina-Fort York
108881,STR-2104-HGDXVJ,M6R,4.0,Parkdale-High Park
108882,STR-2104-JDXXVM,M5J,10.0,Spadina-Fort York
108883,STR-2104-FKHKVB,M3C,16.0,Don Valley East
108884,STR-2104-GJBKVF,M5M,8.0,Eglinton-Lawrence
108885,STR-2104-GRHKVG,M5B,13.0,Toronto Centre
108886,STR-2104-HGVKVJ,M5J,10.0,Spadina-Fort York
108887,STR-2104-HQBKVK,M5R,11.0,University-Rosedale
108888,STR-2104-HXHKVL,M5V,10.0,Spadina-Fort York
108889,STR-2104-JFPKVM,M1W,22.0,Scarborough-Agincourt
108890,STR-2104-GBKXVD,M6K,9.0,Davenport
108891,STR-2104-GJRXVF,M4M,14.0,Toronto-Danforth
108892,STR-2104-GRXXVG,M4L,14.0,Toronto-Danforth
108893,STR-2104-GZDXVH,M5R,11.0,University-Rosedale
108894,STR-2104-HQRXVK,M6J,9.0,Davenport
108895,STR-2104-FLPKVB,M4Y,13.0,Toronto Centre
108896,STR-2104-FTVKVC,M5R,11.0,University-Rosedale
108897,STR-2104-GCBKVD,M6J,10.0,Spadina-Fort York
108898,STR-2104-GKHKVF,M4L,14.0,Toronto-Danforth
108899,STR-2104-GZVKVH,M5B,13.0,Toronto Centre
108900,STR-2104-HJBKVJ,M5J,10.0,Spadina-Fort York
